state,date,sex,abs,rate
Sarawak,2020-01-01,male,13123,18.5
Sarawak,2021-01-01,female,14794,22.9
Sarawak,2021-01-01,male,15032,21.1
Sarawak,2022-01-01,female,16382,25.4
Sarawak,2022-01-01,male,16707,23.6
Selangor,2017-01-01,female,34938,22.59
Selangor,2017-01-01,male,38965,23.36
Selangor,2018-01-01,female,34760,22.3
Selangor,2018-01-01,male,38971,23.2
Selangor,2019-01-01,female,34430,22.1
Selangor,2019-01-01,male,38775,23.2
Selangor,2020-01-01,female,29780,19.1
Selangor,2020-01-01,male,33808,20.4
Selangor,2021-01-01,female,38856,23.3
Selangor,2021-01-01,male,42193,21.6
Selangor,2022-01-01,female,38591,23.2
Selangor,2022-01-01,male,42825,22.0
Terengganu,2017-01-01,female,11623,32.41
Terengganu,2017-01-01,male,10728,28.17
Terengganu,2018-01-01,female,11219,30.9
Terengganu,2018-01-01,male,10541,27.4
Terengganu,2019-01-01,female,10535,28.7
Terengganu,2019-01-01,male,10113,26.1
Terengganu,2020-01-01,female,10631,28.7
Terengganu,2020-01-01,male,10302,26.5
Terengganu,2021-01-01,female,12442,36.6
Terengganu,2021-01-01,male,10846,29.7
Terengganu,2022-01-01,female,11254,32.7
Terengganu,2022-01-01,male,9671,26.2
W.P. Kuala Lumpur,2017-01-01,female,9866,22.27
W.P. Kuala Lumpur,2017-01-01,male,12033,26.27
W.P. Kuala Lumpur,2018-01-01,female,9777,22.3
W.P. Kuala Lumpur,2018-01-01,male,11766,25.9
W.P. Kuala Lumpur,2019-01-01,female,9245,21.3
W.P. Kuala Lumpur,2019-01-01,male,11358,25.3
W.P. Kuala Lumpur,2020-01-01,female,8845,20.7
W.P. Kuala Lumpur,2020-01-01,male,10645,24.1
W.P. Kuala Lumpur,2021-01-01,female,9539,20.9
W.P. Kuala Lumpur,2021-01-01,male,11457,23.9
W.P. Kuala Lumpur,2022-01-01,female,9709,21.5
W.P. Kuala Lumpur,2022-01-01,male,11419,24.1
W.P. Labuan,2017-01-01,female,501,19.95
W.P. Labuan,2017-01-01,male,603,23.33
W.P. Labuan,2018-01-01,female,487,19.3
W.P. Labuan,2018-01-01,male,554,21.4
W.P. Labuan,2019-01-01,female,469,18.7
W.P. Labuan,2019-01-01,male,625,24.3
W.P. Labuan,2020-01-01,female,399,15.9
W.P. Labuan,2020-01-01,male,531,20.9
W.P. Labuan,2021-01-01,female,625,23.6
W.P. Labuan,2021-01-01,male,757,26.3
W.P. Labuan,2022-01-01,female,548,20.8
W.P. Labuan,2022-01-01,male,673,23.4
W.P. Putrajaya,2017-01-01,female,438,16.97
W.P. Putrajaya,2017-01-01,male,478,21.02
W.P. Putrajaya,2018-01-01,female,440,15.3
W.P. Putrajaya,2018-01-01,male,464,18.2
W.P. Putrajaya,2019-01-01,female,397,12.9
W.P. Putrajaya,2019-01-01,male,448,16.6
W.P. Putrajaya,2020-01-01,female,481,14.8
W.P. Putrajaya,2020-01-01,male,501,17.9
W.P. Putrajaya,2021-01-01,female,641,18.8
W.P. Putrajaya,2021-01-01,male,676,20.9
W.P. Putrajaya,2022-01-01,female,543,15.7
W.P. Putrajaya,2022-01-01,male,547,16.9
