state,date,age_group,fertility_rate
Johor,2019-01-01,25-29,132.61
Johor,2019-01-01,30-34,129.4
Johor,2019-01-01,35-39,71.81
Johor,2019-01-01,40-44,21.28
Johor,2019-01-01,45-49,1.46
Johor,2019-01-01,tfr,2.05
Johor,2020-01-01,15-19,6.99
Johor,2020-01-01,20-24,42.8
Johor,2020-01-01,25-29,124.05
Johor,2020-01-01,30-34,123.05
Johor,2020-01-01,35-39,69.44
Johor,2020-01-01,40-44,20.07
Johor,2020-01-01,45-49,1.48
Johor,2020-01-01,tfr,1.94
Johor,2021-01-01,15-19,5.07
Johor,2021-01-01,20-24,35.0
Johor,2021-01-01,25-29,106.93
Johor,2021-01-01,30-34,104.62
Johor,2021-01-01,35-39,61.08
Johor,2021-01-01,40-44,17.97
Johor,2021-01-01,45-49,1.26
Johor,2021-01-01,tfr,1.66
Johor,2022-01-01,15-19,4.0
Johor,2022-01-01,20-24,35.0
Johor,2022-01-01,25-29,106.0
Johor,2022-01-01,30-34,99.0
Johor,2022-01-01,35-39,56.0
Johor,2022-01-01,40-44,16.0
Johor,2022-01-01,45-49,1.0
Johor,2022-01-01,tfr,1.59
Johor,2023-01-01,15-19,6.0
Johor,2023-01-01,20-24,37.0
Johor,2023-01-01,25-29,114.0
Johor,2023-01-01,30-34,120.0
Johor,2023-01-01,35-39,69.0
Johor,2023-01-01,40-44,17.0
Johor,2023-01-01,45-49,1.0
Johor,2023-01-01,tfr,1.82
Johor,2024-01-01,15-19,6.0
Johor,2024-01-01,20-24,34.0
Johor,2024-01-01,25-29,98.0
Johor,2024-01-01,30-34,110.0
Johor,2024-01-01,35-39,62.0
Johor,2024-01-01,40-44,16.0
Johor,2024-01-01,45-49,1.0
Johor,2024-01-01,tfr,1.6
Kedah,2001-01-01,15-19,11.0
Kedah,2001-01-01,20-24,101.0
Kedah,2001-01-01,25-29,198.0
Kedah,2001-01-01,30-34,167.0
Kedah,2001-01-01,35-39,107.0
Kedah,2001-01-01,40-44,40.0
Kedah,2001-01-01,45-49,4.0
Kedah,2001-01-01,tfr,3.14
Kedah,2002-01-01,15-19,9.0
Kedah,2002-01-01,20-24,91.0
Kedah,2002-01-01,25-29,191.0
Kedah,2002-01-01,30-34,162.0
Kedah,2002-01-01,35-39,101.0
Kedah,2002-01-01,40-44,35.0
Kedah,2002-01-01,45-49,4.0
Kedah,2002-01-01,tfr,2.97
Kedah,2003-01-01,15-19,9.0
Kedah,2003-01-01,20-24,86.0
Kedah,2003-01-01,25-29,186.0
Kedah,2003-01-01,30-34,154.0
Kedah,2003-01-01,35-39,94.0
Kedah,2003-01-01,40-44,32.0
Kedah,2003-01-01,45-49,3.0
Kedah,2003-01-01,tfr,2.82
Kedah,2004-01-01,15-19,9.0
Kedah,2004-01-01,20-24,79.0
Kedah,2004-01-01,25-29,181.0
Kedah,2004-01-01,30-34,155.0
Kedah,2004-01-01,35-39,92.0
Kedah,2004-01-01,40-44,31.0
Kedah,2004-01-01,45-49,3.0
Kedah,2004-01-01,tfr,2.75
Kedah,2005-01-01,15-19,9.0
Kedah,2005-01-01,20-24,76.0
Kedah,2005-01-01,25-29,173.0
Kedah,2005-01-01,30-34,151.0
Kedah,2005-01-01,35-39,89.0
Kedah,2005-01-01,40-44,30.0
Kedah,2005-01-01,45-49,3.0
Kedah,2005-01-01,tfr,2.65
Kedah,2006-01-01,15-19,8.0
Kedah,2006-01-01,20-24,77.0
Kedah,2006-01-01,25-29,172.0
Kedah,2006-01-01,30-34,146.0
Kedah,2006-01-01,35-39,84.0
Kedah,2006-01-01,40-44,27.0
Kedah,2006-01-01,45-49,2.0
Kedah,2006-01-01,tfr,2.58
Kedah,2007-01-01,15-19,9.0
Kedah,2007-01-01,20-24,74.0
Kedah,2007-01-01,25-29,169.0
Kedah,2007-01-01,30-34,147.0
Kedah,2007-01-01,35-39,83.0
Kedah,2007-01-01,40-44,27.0
Kedah,2007-01-01,45-49,2.0
Kedah,2007-01-01,tfr,2.56
