state,date,abs,rate
Pahang,2023-01-01,4,16.6
Pahang,2024-01-01,2,9.3
Perak,2000-01-01,13,26.8
Perak,2001-01-01,16,36.8
Perak,2002-01-01,12,28.4
Perak,2003-01-01,18,45.2
Perak,2004-01-01,7,17.9
Perak,2005-01-01,12,32.1
Perak,2006-01-01,8,21.7
Perak,2007-01-01,9,24.6
Perak,2008-01-01,13,35.0
Perak,2009-01-01,8,21.5
Perak,2010-01-01,9,25.0
Perak,2011-01-01,9,24.0
Perak,2012-01-01,9,23.9
Perak,2013-01-01,8,22.6
Perak,2014-01-01,5,13.7
Perak,2015-01-01,12,33.1
Perak,2016-01-01,10,28.0
Perak,2017-01-01,7,20.1
Perak,2018-01-01,8,23.6
Perak,2019-01-01,7,21.2
Perak,2020-01-01,6,19.0
Perak,2021-01-01,20,64.9
Perak,2022-01-01,6,20.3
Perak,2023-01-01,6,19.5
Perak,2024-01-01,10,36.2
Perlis,2000-01-01,0,0.0
Perlis,2001-01-01,0,0.0
Perlis,2002-01-01,0,0.0
Perlis,2003-01-01,1,24.6
Perlis,2004-01-01,2,50.5
Perlis,2005-01-01,2,50.9
Perlis,2006-01-01,1,25.7
Perlis,2007-01-01,2,50.7
Perlis,2008-01-01,1,24.0
Perlis,2009-01-01,0,0.0
Perlis,2010-01-01,2,48.6
Perlis,2011-01-01,0,0.0
Perlis,2012-01-01,1,24.1
Perlis,2013-01-01,0,0.0
Perlis,2014-01-01,2,44.4
Perlis,2015-01-01,3,69.5
Perlis,2016-01-01,0,0.0
Perlis,2017-01-01,1,22.5
Perlis,2018-01-01,0,0.0
Perlis,2019-01-01,2,49.3
Perlis,2020-01-01,1,24.4
Perlis,2021-01-01,0,0.0
Perlis,2022-01-01,1,26.7
Perlis,2023-01-01,0,0.0
Perlis,2024-01-01,0,0.0
Pulau Pinang,2000-01-01,1,3.7
Pulau Pinang,2001-01-01,3,12.1
Pulau Pinang,2002-01-01,7,28.3
Pulau Pinang,2003-01-01,7,29.8
Pulau Pinang,2004-01-01,5,21.8
Pulau Pinang,2005-01-01,4,17.7
Pulau Pinang,2006-01-01,6,27.3
Pulau Pinang,2007-01-01,5,22.3
Pulau Pinang,2008-01-01,4,17.4
Pulau Pinang,2009-01-01,6,26.3
Pulau Pinang,2010-01-01,8,37.8
Pulau Pinang,2011-01-01,3,13.4
Pulau Pinang,2012-01-01,5,21.0
Pulau Pinang,2013-01-01,3,14.0
Pulau Pinang,2014-01-01,4,17.5
Pulau Pinang,2015-01-01,6,27.0
Pulau Pinang,2016-01-01,11,50.5
Pulau Pinang,2017-01-01,9,41.9
Pulau Pinang,2018-01-01,4,19.3
Pulau Pinang,2019-01-01,6,29.7
Pulau Pinang,2020-01-01,7,35.6
Pulau Pinang,2021-01-01,20,107.7
Pulau Pinang,2022-01-01,4,22.6
Pulau Pinang,2023-01-01,4,20.4
Pulau Pinang,2024-01-01,3,16.5
Sabah,2000-01-01,31,62.9
Sabah,2001-01-01,37,75.5
Sabah,2002-01-01,17,36.9
Sabah,2003-01-01,15,33.8
Sabah,2004-01-01,10,21.7
Sabah,2005-01-01,15,31.8
Sabah,2006-01-01,13,28.2
Sabah,2007-01-01,20,42.5
Sabah,2008-01-01,14,27.8
Sabah,2009-01-01,12,22.7
Sabah,2010-01-01,8,14.8
Sabah,2011-01-01,19,34.6
Sabah,2012-01-01,19,32.7
Sabah,2013-01-01,16,28.2
Sabah,2014-01-01,10,17.4
Sabah,2015-01-01,19,34.7
Sabah,2016-01-01,30,57.6
Sabah,2017-01-01,14,26.7
Sabah,2018-01-01,10,18.9
Sabah,2019-01-01,14,26.4
Sabah,2020-01-01,18,36.3
Sabah,2021-01-01,28,67.3
Sabah,2022-01-01,13,29.8
Sabah,2023-01-01,17,36.6
Sabah,2024-01-01,12,28.5
Sarawak,2000-01-01,8,16.7
Sarawak,2001-01-01,3,6.5
Sarawak,2002-01-01,12,26.7
Sarawak,2003-01-01,8,18.2
Sarawak,2004-01-01,11,25.3
Sarawak,2005-01-01,10,23.1
Sarawak,2006-01-01,9,21.0
Sarawak,2007-01-01,12,28.2
Sarawak,2008-01-01,15,34.5
Sarawak,2009-01-01,14,32.0
Sarawak,2010-01-01,10,24.1
Sarawak,2011-01-01,11,25.4
Sarawak,2012-01-01,12,27.8
Sarawak,2013-01-01,3,7.4
Sarawak,2014-01-01,6,14.6
Sarawak,2015-01-01,7,17.6
Sarawak,2016-01-01,6,15.8
Sarawak,2017-01-01,8,21.2
Sarawak,2018-01-01,11,30.0
Sarawak,2019-01-01,6,16.4
Sarawak,2020-01-01,7,19.7
Sarawak,2021-01-01,12,38.4
Sarawak,2022-01-01,6,19.4
Sarawak,2023-01-01,6,17.7
Sarawak,2024-01-01,5,16.5
Selangor,2000-01-01,26,28.4
Selangor,2001-01-01,21,23.9
Selangor,2002-01-01,31,34.5
Selangor,2003-01-01,25,27.8
Selangor,2004-01-01,22,23.6
Selangor,2005-01-01,21,22.7
Selangor,2006-01-01,23,24.3
Selangor,2007-01-01,20,20.6
Selangor,2008-01-01,22,21.9
Selangor,2009-01-01,28,27.2
Selangor,2010-01-01,18,18.3
Selangor,2011-01-01,22,21.2
Selangor,2012-01-01,19,17.6
Selangor,2013-01-01,27,26.2
Selangor,2014-01-01,19,17.4
Selangor,2015-01-01,21,19.4
Selangor,2016-01-01,31,29.6
Selangor,2017-01-01,25,24.0
Selangor,2018-01-01,20,19.6
Selangor,2019-01-01,17,17.2
Selangor,2020-01-01,23,24.6
Selangor,2021-01-01,80,88.8
Selangor,2022-01-01,19,22.7
Selangor,2023-01-01,15,16.6
Selangor,2024-01-01,22,26.5
Terengganu,2000-01-01,5,20.1
Terengganu,2001-01-01,5,20.8
Terengganu,2002-01-01,5,21.5
Terengganu,2003-01-01,5,22.5
Terengganu,2004-01-01,6,26.6
Terengganu,2005-01-01,8,36.4
Terengganu,2006-01-01,9,41.1
Terengganu,2007-01-01,4,17.9
Terengganu,2008-01-01,1,4.3
Terengganu,2009-01-01,7,29.3
Terengganu,2010-01-01,8,33.0
Terengganu,2011-01-01,5,20.2
Terengganu,2012-01-01,7,27.2
Terengganu,2013-01-01,7,27.5
Terengganu,2014-01-01,9,33.3
Terengganu,2015-01-01,5,18.1
Terengganu,2016-01-01,6,21.8
Terengganu,2017-01-01,6,21.5
Terengganu,2018-01-01,3,10.6
Terengganu,2019-01-01,5,18.5
Terengganu,2020-01-01,6,22.1
Terengganu,2021-01-01,8,30.4
Terengganu,2022-01-01,10,39.5
Terengganu,2023-01-01,3,11.5
Terengganu,2024-01-01,5,21.1
W.P. Kuala Lumpur,2000-01-01,5,17.0
W.P. Kuala Lumpur,2001-01-01,10,36.7
W.P. Kuala Lumpur,2002-01-01,4,15.4
W.P. Kuala Lumpur,2003-01-01,4,15.9
W.P. Kuala Lumpur,2004-01-01,4,16.1
W.P. Kuala Lumpur,2005-01-01,5,21.2
W.P. Kuala Lumpur,2006-01-01,5,20.8
W.P. Kuala Lumpur,2007-01-01,3,12.0
W.P. Kuala Lumpur,2008-01-01,5,19.9
W.P. Kuala Lumpur,2009-01-01,3,11.6
W.P. Kuala Lumpur,2010-01-01,6,24.5
W.P. Kuala Lumpur,2011-01-01,4,15.7
W.P. Kuala Lumpur,2012-01-01,10,37.1
W.P. Kuala Lumpur,2013-01-01,3,11.8
W.P. Kuala Lumpur,2014-01-01,5,18.5
W.P. Kuala Lumpur,2015-01-01,1,3.9
W.P. Kuala Lumpur,2016-01-01,7,27.2
W.P. Kuala Lumpur,2017-01-01,6,24.3
W.P. Kuala Lumpur,2018-01-01,10,41.3
W.P. Kuala Lumpur,2019-01-01,5,20.9
W.P. Kuala Lumpur,2020-01-01,7,30.2
W.P. Kuala Lumpur,2021-01-01,12,57.0
W.P. Kuala Lumpur,2022-01-01,3,15.1
W.P. Kuala Lumpur,2023-01-01,8,37.3
W.P. Kuala Lumpur,2024-01-01,6,28.3
W.P. Labuan,2000-01-01,0,0.0
W.P. Labuan,2001-01-01,0,0.0
W.P. Labuan,2002-01-01,0,0.0
W.P. Labuan,2003-01-01,2,126.3
W.P. Labuan,2004-01-01,0,0.0
W.P. Labuan,2005-01-01,0,0.0
W.P. Labuan,2006-01-01,0,0.0
W.P. Labuan,2007-01-01,0,0.0
W.P. Labuan,2008-01-01,1,59.5
W.P. Labuan,2009-01-01,0,0.0
W.P. Labuan,2010-01-01,1,61.3
W.P. Labuan,2011-01-01,0,0.0
W.P. Labuan,2012-01-01,0,0.0
W.P. Labuan,2013-01-01,0,0.0
W.P. Labuan,2014-01-01,0,0.0
W.P. Labuan,2015-01-01,0,0.0
W.P. Labuan,2016-01-01,1,57.1
W.P. Labuan,2017-01-01,0,0.0
W.P. Labuan,2018-01-01,0,0.0
W.P. Labuan,2019-01-01,0,0.0
W.P. Labuan,2020-01-01,1,58.3
W.P. Labuan,2021-01-01,5,328.5
W.P. Labuan,2022-01-01,2,145.6
W.P. Labuan,2023-01-01,0,0.0
W.P. Labuan,2024-01-01,0,0.0
W.P. Putrajaya,2010-01-01,0,0.0
W.P. Putrajaya,2011-01-01,0,0.0
W.P. Putrajaya,2012-01-01,0,0.0
W.P. Putrajaya,2013-01-01,0,0.0
W.P. Putrajaya,2014-01-01,2,65.3
W.P. Putrajaya,2015-01-01,2,69.7
W.P. Putrajaya,2016-01-01,0,0.0
W.P. Putrajaya,2017-01-01,0,0.0
W.P. Putrajaya,2018-01-01,0,0.0
W.P. Putrajaya,2019-01-01,0,0.0
W.P. Putrajaya,2020-01-01,0,0.0
W.P. Putrajaya,2021-01-01,1,47.5
W.P. Putrajaya,2022-01-01,1,54.4
W.P. Putrajaya,2023-01-01,3,175.1
W.P. Putrajaya,2024-01-01,1,64.6
