date,state,district,sex,abs,rate
2023-01-01,Johor,Johor Bahru,both,25017,14.201294277929156
2023-01-01,Johor,Johor Bahru,female,12054,14.58086367485182
2023-01-01,Johor,Johor Bahru,male,12963,13.865654080650335
2023-01-01,Johor,Kluang,both,4260,12.96014602981442
2023-01-01,Johor,Kluang,female,2070,14.05295315682281
2023-01-01,Johor,Kluang,male,2190,12.07276736493936
2023-01-01,Johor,Kota Tinggi,both,3987,17.387701700828607
2023-01-01,Johor,Kota Tinggi,female,1896,17.6536312849162
2023-01-01,Johor,Kota Tinggi,male,2091,17.15340442986054
2023-01-01,Johor,Kulai,both,4156,12.212753452835733
2023-01-01,Johor,Kulai,female,2026,12.93742017879949
2023-01-01,Johor,Kulai,male,2130,11.594991834512792
2023-01-01,Johor,Mersing,both,1182,14.756554307116106
2023-01-01,Johor,Mersing,female,564,15.12064343163539
2023-01-01,Johor,Mersing,male,618,14.4392523364486
2023-01-01,Johor,Muar,both,3834,12.030122372136804
2023-01-01,Johor,Muar,female,1849,12.867084203201117
2023-01-01,Johor,Muar,male,1985,11.342857142857143
2023-01-01,Johor,Pontian,both,2719,15.466439135381114
2023-01-01,Johor,Pontian,female,1313,16.090686274509807
2023-01-01,Johor,Pontian,male,1406,14.92569002123142
2023-01-01,Johor,Segamat,both,2566,12.728174603174605
2023-01-01,Johor,Segamat,female,1297,13.46832814122534
2023-01-01,Johor,Segamat,male,1269,12.039848197343453
2023-01-01,Johor,Tangkak,both,2059,12.32196289646918
2023-01-01,Johor,Tangkak,female,1012,12.665832290362951
2023-01-01,Johor,Tangkak,male,1047,12.006880733944952
2024-01-01,Johor,Batu Pahat,both,5763,11.3
2024-01-01,Johor,Batu Pahat,female,2738,11.4
2024-01-01,Johor,Batu Pahat,male,3025,11.2
2024-01-01,Johor,Johor Bahru,both,23018,12.8
2024-01-01,Johor,Johor Bahru,female,11071,13.2
2024-01-01,Johor,Johor Bahru,male,11947,12.4
2024-01-01,Johor,Kluang,both,3751,11.2
2024-01-01,Johor,Kluang,female,1800,12.1
2024-01-01,Johor,Kluang,male,1951,10.5
2024-01-01,Johor,Kota Tinggi,both,3462,14.8
2024-01-01,Johor,Kota Tinggi,female,1717,15.8
2024-01-01,Johor,Kota Tinggi,male,1745,14.0
2024-01-01,Johor,Kulai,both,3780,10.8
2024-01-01,Johor,Kulai,female,1837,11.5
2024-01-01,Johor,Kulai,male,1943,10.2
2024-01-01,Johor,Mersing,both,1083,13.4
2024-01-01,Johor,Mersing,female,547,14.5
2024-01-01,Johor,Mersing,male,536,12.3
2024-01-01,Johor,Muar,both,3436,10.6
2024-01-01,Johor,Muar,female,1676,11.6
2024-01-01,Johor,Muar,male,1760,9.9
2024-01-01,Johor,Pontian,both,2475,13.9
2024-01-01,Johor,Pontian,female,1203,14.6
2024-01-01,Johor,Pontian,male,1272,13.3
2024-01-01,Johor,Segamat,both,2376,11.6
2024-01-01,Johor,Segamat,female,1131,11.7
2024-01-01,Johor,Segamat,male,1245,11.5
2024-01-01,Johor,Tangkak,both,1867,11.0
2024-01-01,Johor,Tangkak,female,915,11.3
2024-01-01,Johor,Tangkak,male,952,10.7
2020-01-01,Kedah,Baling,both,2994,20.995792426367466
2020-01-01,Kedah,Baling,female,1423,20.47482014388489
2020-01-01,Kedah,Baling,male,1571,21.491108071135432
2020-01-01,Kedah,Bandar Baharu,both,746,16.8018018018018
2020-01-01,Kedah,Bandar Baharu,female,357,16.451612903225808
2020-01-01,Kedah,Bandar Baharu,male,389,17.136563876651984
2020-01-01,Kedah,Kota Setar,both,6454,17.252071638599304
2020-01-01,Kedah,Kota Setar,female,3153,16.780202235231506
2020-01-01,Kedah,Kota Setar,male,3301,17.737775389575496
2020-01-01,Kedah,Kuala Muda,both,7349,13.48440366972477
2020-01-01,Kedah,Kuala Muda,female,3535,13.339622641509434
2020-01-01,Kedah,Kuala Muda,male,3814,13.621428571428572
2020-01-01,Kedah,Kubang Pasu,both,3865,16.253153910849452
2020-01-01,Kedah,Kubang Pasu,female,1799,14.941860465116278
2020-01-01,Kedah,Kubang Pasu,male,2066,17.61295822676897
2020-01-01,Kedah,Kulim,both,4423,13.097423748889549
2020-01-01,Kedah,Kulim,female,2171,13.181542197935642
2020-01-01,Kedah,Kulim,male,2252,13.017341040462428
2020-01-01,Kedah,Langkawi,both,1904,20.233793836344315
2020-01-01,Kedah,Langkawi,female,932,20.528634361233483
2020-01-01,Kedah,Langkawi,male,972,19.958932238193015
2020-01-01,Kedah,Padang Terap,both,1359,20.684931506849313
2020-01-01,Kedah,Padang Terap,female,646,20.50793650793651
2020-01-01,Kedah,Padang Terap,male,713,20.84795321637427
2020-01-01,Kedah,Pendang,both,1866,18.867542972699695
2020-01-01,Kedah,Pendang,female,915,19.719827586206897
2020-01-01,Kedah,Pendang,male,951,18.11428571428571
2020-01-01,Kedah,Pokok Sena,both,540,10.843373493975903
2020-01-01,Kedah,Pokok Sena,female,259,11.460176991150442
2020-01-01,Kedah,Pokok Sena,male,281,10.330882352941178
2020-01-01,Kedah,Sik,both,1259,18.541973490427097
2020-01-01,Kedah,Sik,female,629,18.88888888888889
2020-01-01,Kedah,Sik,male,630,18.155619596541783
2020-01-01,Kedah,Yan,both,1031,14.046321525885558
2020-01-01,Kedah,Yan,female,476,13.333333333333332
2020-01-01,Kedah,Yan,male,555,14.721485411140582
2021-01-01,Kedah,Baling,both,2682,18.599167822468793
2021-01-01,Kedah,Baling,female,1317,18.707386363636363
2021-01-01,Kedah,Baling,male,1365,18.470906630581865
2021-01-01,Kedah,Bandar Baharu,both,685,15.427927927927929
2021-01-01,Kedah,Bandar Baharu,female,338,15.576036866359448
2021-01-01,Kedah,Bandar Baharu,male,347,15.286343612334802
2021-01-01,Kedah,Kota Setar,both,5842,15.524847196385862
2021-01-01,Kedah,Kota Setar,female,2875,15.203595980962454
2021-01-01,Kedah,Kota Setar,male,2967,15.849358974358974
2021-01-01,Kedah,Kuala Muda,both,7486,13.703093538348892
2021-01-01,Kedah,Kuala Muda,female,3620,13.57839459864966
2021-01-01,Kedah,Kuala Muda,male,3866,13.821952091526637
2021-01-01,Kedah,Kubang Pasu,both,3824,15.375954965822276
2021-01-01,Kedah,Kubang Pasu,female,1885,14.96031746031746
2021-01-01,Kedah,Kubang Pasu,male,1939,15.802770986145068
2021-01-01,Kedah,Kulim,both,4453,13.135693215339233
2021-01-01,Kedah,Kulim,female,2104,12.705314009661835
2021-01-01,Kedah,Kulim,male,2349,13.546712802768166
2021-01-01,Kedah,Langkawi,both,1782,18.738170347003155
2021-01-01,Kedah,Langkawi,female,825,17.934782608695652
2021-01-01,Kedah,Langkawi,male,957,19.4908350305499
2021-01-01,Kedah,Padang Terap,both,1152,17.349397590361445
2021-01-01,Kedah,Padang Terap,female,531,16.69811320754717
2021-01-01,Kedah,Padang Terap,male,621,17.947976878612717
2021-01-01,Kedah,Pendang,both,1926,19.395770392749245
2021-01-01,Kedah,Pendang,female,952,20.38543897216274
2021-01-01,Kedah,Pendang,male,974,18.517110266159698
2021-01-01,Kedah,Pokok Sena,both,957,19.14
2021-01-01,Kedah,Pokok Sena,female,446,19.647577092511018
2021-01-01,Kedah,Pokok Sena,male,511,18.71794871794872
2021-01-01,Kedah,Sik,both,1278,18.711566617862378
2021-01-01,Kedah,Sik,female,628,18.80239520958084
2021-01-01,Kedah,Sik,male,650,18.678160919540232
2021-01-01,Kedah,Yan,both,973,13.220108695652176
2021-01-01,Kedah,Yan,female,487,13.603351955307264
2021-01-01,Kedah,Yan,male,486,12.857142857142858
2022-01-01,Kedah,Baling,both,2855,19.703243616287093
2022-01-01,Kedah,Baling,female,1426,20.141242937853107
2022-01-01,Kedah,Baling,male,1429,19.28475033738192
2022-01-01,Kedah,Bandar Baharu,both,623,13.937360178970916
2022-01-01,Kedah,Bandar Baharu,female,297,13.623853211009171
2022-01-01,Kedah,Bandar Baharu,male,326,14.298245614035087
2022-01-01,Kedah,Kota Setar,both,5475,14.530254777070065
2022-01-01,Kedah,Kota Setar,female,2684,14.16358839050132
2022-01-01,Kedah,Kota Setar,male,2791,14.893276414087511
2022-01-01,Kedah,Kuala Muda,both,6493,11.794732061762035
2022-01-01,Kedah,Kuala Muda,female,3131,11.656738644825015
2022-01-01,Kedah,Kuala Muda,male,3362,11.926214969847464
2022-01-01,Kedah,Kubang Pasu,both,3645,14.59751702042451
2022-01-01,Kedah,Kubang Pasu,female,1792,14.15481832543444
2022-01-01,Kedah,Kubang Pasu,male,1853,15.052802599512592
2022-01-01,Kedah,Kulim,both,4070,11.924992675065925
2022-01-01,Kedah,Kulim,female,2010,12.05758848230354
2022-01-01,Kedah,Kulim,male,2060,11.79839633447881
2022-01-01,Kedah,Langkawi,both,1658,17.199170124481327
2022-01-01,Kedah,Langkawi,female,798,17.124463519313306
2022-01-01,Kedah,Langkawi,male,860,17.303822937625753
2022-01-01,Kedah,Padang Terap,both,1160,17.44360902255639
2022-01-01,Kedah,Padang Terap,female,575,18.025078369905955
2022-01-01,Kedah,Padang Terap,male,585,16.90751445086705
2022-01-01,Kedah,Pendang,both,1846,18.49699398797595
2022-01-01,Kedah,Pendang,female,878,18.680851063829788
2022-01-01,Kedah,Pendang,male,968,18.333333333333336
2022-01-01,Kedah,Pokok Sena,both,901,18.02
2022-01-01,Kedah,Pokok Sena,female,428,18.771929824561404
2022-01-01,Kedah,Pokok Sena,male,473,17.326007326007325
2022-01-01,Kedah,Sik,both,1156,16.85131195335277
2022-01-01,Kedah,Sik,female,565,16.765578635014837
2022-01-01,Kedah,Sik,male,591,16.885714285714286
2022-01-01,Kedah,Yan,both,914,12.384823848238485
2022-01-01,Kedah,Yan,female,428,11.88888888888889
2022-01-01,Kedah,Yan,male,486,12.823218997361478
2023-01-01,Kedah,Baling,both,2726,18.582140422631223
2023-01-01,Kedah,Baling,female,1344,18.744769874476987
2023-01-01,Kedah,Baling,male,1382,18.426666666666662
2023-01-01,Kedah,Bandar Baharu,both,744,16.496674057649667
2023-01-01,Kedah,Bandar Baharu,female,354,16.09090909090909
2023-01-01,Kedah,Bandar Baharu,male,390,16.88311688311688
2023-01-01,Kedah,Kota Setar,both,5907,15.573424729765357
2023-01-01,Kedah,Kota Setar,female,2818,14.769392033542976
2023-01-01,Kedah,Kota Setar,male,3089,16.387267904509283
2023-01-01,Kedah,Kuala Muda,both,7750,13.831875780831698
2023-01-01,Kedah,Kuala Muda,female,3777,13.891136447223245
2023-01-01,Kedah,Kuala Muda,male,3973,13.77600554785021
2023-01-01,Kedah,Kubang Pasu,both,3840,15.268389662027833
2023-01-01,Kedah,Kubang Pasu,female,1853,14.533333333333331
2023-01-01,Kedah,Kubang Pasu,male,1987,16.024193548387096
2023-01-01,Kedah,Kulim,both,4524,13.060046189376443
2023-01-01,Kedah,Kulim,female,2128,12.59171597633136
2023-01-01,Kedah,Kulim,male,2396,13.498591549295774
2023-01-01,Kedah,Langkawi,both,1755,17.908163265306122
2023-01-01,Kedah,Langkawi,female,818,17.257383966244728
2023-01-01,Kedah,Langkawi,male,937,18.48126232741617
2023-01-01,Kedah,Padang Terap,both,1214,18.092399403874815
2023-01-01,Kedah,Padang Terap,female,553,17.173913043478258
2023-01-01,Kedah,Padang Terap,male,661,18.99425287356322
2023-01-01,Kedah,Pendang,both,1913,18.997020854021848
2023-01-01,Kedah,Pendang,female,927,19.51578947368421
2023-01-01,Kedah,Pendang,male,986,18.533834586466163
2023-01-01,Kedah,Pokok Sena,both,1032,20.435643564356436
2023-01-01,Kedah,Pokok Sena,female,499,21.695652173913043
2023-01-01,Kedah,Pokok Sena,male,533,19.381818181818183
2023-01-01,Kedah,Sik,both,1369,19.754689754689757
2023-01-01,Kedah,Sik,female,683,20.08823529411765
2023-01-01,Kedah,Sik,male,686,19.433427762039663
2023-01-01,Kedah,Yan,both,1037,13.956931359353971
2023-01-01,Kedah,Yan,female,483,13.37950138504155
2023-01-01,Kedah,Yan,male,554,14.540682414698162
2024-01-01,Kedah,Baling,both,2472,16.7
2024-01-01,Kedah,Baling,female,1212,16.7
2024-01-01,Kedah,Baling,male,1260,16.6
2024-01-01,Kedah,Bandar Baharu,both,646,14.2
