date,percentile,variable,income
2024-01-01,69,median,9986.0
2024-01-01,70,median,10192.0
2024-01-01,71,median,10368.0
2024-01-01,72,median,10539.0
2024-01-01,73,median,10721.0
2024-01-01,74,median,10886.0
2024-01-01,75,median,11072.0
2024-01-01,76,median,11278.0
2024-01-01,77,median,11479.0
2024-01-01,78,median,11860.0
2024-01-01,79,median,12235.0
2024-01-01,80,median,12567.0
2024-01-01,81,median,12783.0
2024-01-01,82,median,13059.0
2024-01-01,83,median,13354.0
2024-01-01,84,median,13639.0
2024-01-01,85,median,13938.0
2024-01-01,86,median,14280.0
2024-01-01,87,median,14681.0
2024-01-01,88,median,15182.0
2024-01-01,89,median,15654.0
2024-01-01,90,median,16202.0
2024-01-01,91,median,16839.0
2024-01-01,92,median,17540.0
2024-01-01,93,median,18369.0
2024-01-01,94,median,19406.0
2024-01-01,95,median,20738.0
2024-01-01,96,median,22302.0
2024-01-01,97,median,24778.0
2024-01-01,98,median,27681.0
2024-01-01,99,median,34566.0
2024-01-01,100,median,55034.0
2024-01-01,1,minimum,
2024-01-01,2,minimum,1556.0
2024-01-01,3,minimum,1805.0
2024-01-01,4,minimum,2009.0
2024-01-01,5,minimum,2161.0
2024-01-01,6,minimum,2298.0
2024-01-01,7,minimum,2438.0
2024-01-01,8,minimum,2553.0
2024-01-01,9,minimum,2663.0
2024-01-01,10,minimum,2783.0
2024-01-01,11,minimum,2889.0
2024-01-01,12,minimum,2986.0
2024-01-01,13,minimum,3077.0
2024-01-01,14,minimum,3165.0
2024-01-01,15,minimum,3259.0
2024-01-01,16,minimum,3354.0
2024-01-01,17,minimum,3445.0
2024-01-01,18,minimum,3539.0
2024-01-01,19,minimum,3635.0
2024-01-01,20,minimum,3724.0
2024-01-01,21,minimum,3815.0
2024-01-01,22,minimum,3913.0
2024-01-01,23,minimum,4022.0
2024-01-01,24,minimum,4127.0
2024-01-01,25,minimum,4224.0
2024-01-01,26,minimum,4326.0
2024-01-01,27,minimum,4427.0
2024-01-01,28,minimum,4528.0
2024-01-01,29,minimum,4633.0
2024-01-01,30,minimum,4739.0
2024-01-01,31,minimum,4841.0
2024-01-01,32,minimum,4945.0
2024-01-01,33,minimum,5051.0
2024-01-01,34,minimum,5145.0
2024-01-01,35,minimum,5247.0
2024-01-01,36,minimum,5351.0
2024-01-01,37,minimum,5454.0
2024-01-01,38,minimum,5559.0
2024-01-01,39,minimum,5658.0
2024-01-01,40,minimum,5760.0
2024-01-01,41,minimum,5858.0
2024-01-01,42,minimum,5961.0
2024-01-01,43,minimum,6114.0
2024-01-01,44,minimum,6274.0
2024-01-01,45,minimum,6394.0
2024-01-01,46,minimum,6506.0
2024-01-01,47,minimum,6612.0
2024-01-01,48,minimum,6723.0
2024-01-01,49,minimum,6822.0
2024-01-01,50,minimum,6924.0
2024-01-01,51,minimum,7018.0
2024-01-01,52,minimum,7190.0
