state,district,date,poverty_absolute,poverty_relative
Sabah,Kalabakan,2024-01-01,26.8,35.5
Sabah,Keningau,2019-01-01,17.1,10.9
Sabah,Keningau,2022-01-01,18.8,10.3
Sabah,Keningau,2024-01-01,12.8,11.5
Sabah,Kinabatangan,2019-01-01,32.1,19.1
Sabah,Kinabatangan,2022-01-01,28.9,18.2
Sabah,Kinabatangan,2024-01-01,26.7,10.4
Sabah,Kota Belud,2019-01-01,34.0,31.1
Sabah,Kota Belud,2022-01-01,27.8,29.8
Sabah,Kota Belud,2024-01-01,26.1,17.0
Sabah,Kota Kinabalu,2019-01-01,7.5,5.1
Sabah,Kota Kinabalu,2022-01-01,10.3,8.0
Sabah,Kota Kinabalu,2024-01-01,12.0,7.7
Sabah,Kota Marudu,2019-01-01,46.1,42.3
Sabah,Kota Marudu,2022-01-01,49.9,38.4
Sabah,Kota Marudu,2024-01-01,40.0,38.8
Sabah,Kuala Penyu,2019-01-01,29.7,20.0
Sabah,Kuala Penyu,2022-01-01,17.6,20.6
Sabah,Kuala Penyu,2024-01-01,14.3,30.4
Sabah,Kudat,2019-01-01,41.5,36.5
Sabah,Kudat,2022-01-01,34.7,32.5
Sabah,Kudat,2024-01-01,35.3,32.3
Sabah,Kunak,2019-01-01,26.0,13.5
Sabah,Kunak,2022-01-01,25.4,13.9
Sabah,Kunak,2024-01-01,29.2,26.1
Sabah,Lahad Datu,2019-01-01,19.3,9.0
Sabah,Lahad Datu,2022-01-01,23.5,14.6
Sabah,Lahad Datu,2024-01-01,13.6,3.4
Sabah,Nabawan,2019-01-01,35.6,12.7
Sabah,Nabawan,2022-01-01,27.1,10.4
Sabah,Nabawan,2024-01-01,25.4,15.9
Sabah,Papar,2019-01-01,12.7,10.8
Sabah,Papar,2022-01-01,16.2,10.5
Sabah,Papar,2024-01-01,12.0,9.0
Sabah,Penampang,2019-01-01,4.4,4.0
Sabah,Penampang,2022-01-01,6.7,5.6
Sabah,Penampang,2024-01-01,5.7,5.9
Sabah,Pitas,2019-01-01,53.6,56.6
Sabah,Pitas,2022-01-01,52.7,46.7
Sabah,Pitas,2024-01-01,50.0,44.6
Sabah,Putatan,2019-01-01,10.9,8.8
Sabah,Putatan,2022-01-01,12.9,7.9
Sabah,Putatan,2024-01-01,6.9,3.4
Sabah,Ranau,2019-01-01,26.8,21.3
Sabah,Ranau,2022-01-01,25.4,21.1
Sabah,Ranau,2024-01-01,23.5,27.9
Sabah,Sandakan,2019-01-01,18.2,11.5
Sabah,Sandakan,2022-01-01,17.7,10.0
Sabah,Sandakan,2024-01-01,15.2,12.0
Sabah,Semporna,2019-01-01,31.5,18.0
Sabah,Semporna,2022-01-01,28.0,16.9
Sabah,Semporna,2024-01-01,30.4,24.0
Sabah,Sipitang,2019-01-01,10.5,6.2
Sabah,Sipitang,2022-01-01,22.1,15.1
Sabah,Sipitang,2024-01-01,15.3,9.0
Sabah,Tambunan,2019-01-01,16.7,19.1
Sabah,Tambunan,2022-01-01,9.0,13.5
Sabah,Tambunan,2024-01-01,8.3,13.9
Sabah,Tawau,2019-01-01,14.2,9.0
Sabah,Tawau,2022-01-01,14.4,12.5
Sabah,Tawau,2024-01-01,13.2,13.0
Sabah,Telupid,2019-01-01,40.7,35.5
Sabah,Telupid,2022-01-01,20.8,16.7
Sabah,Telupid,2024-01-01,22.0,12.2
Sabah,Tenom,2019-01-01,17.2,11.3
Sabah,Tenom,2022-01-01,15.8,12.4
Sabah,Tenom,2024-01-01,12.1,17.7
Sabah,Tongod,2019-01-01,56.6,49.1
