date,state,type,staff
2014-01-01,W.P. Labuan,doctor,53
2015-01-01,W.P. Labuan,doctor,57
2016-01-01,W.P. Labuan,doctor,57
2017-01-01,W.P. Labuan,doctor,71
2018-01-01,W.P. Labuan,doctor,110
2019-01-01,W.P. Labuan,doctor,116
2020-01-01,W.P. Labuan,doctor,105
2021-01-01,W.P. Labuan,doctor,103
2022-01-01,W.P. Labuan,doctor,102
2014-01-01,W.P. Labuan,nurse,211
2015-01-01,W.P. Labuan,nurse,230
2016-01-01,W.P. Labuan,nurse,231
2017-01-01,W.P. Labuan,nurse,230
2018-01-01,W.P. Labuan,nurse,230
2019-01-01,W.P. Labuan,nurse,232
2020-01-01,W.P. Labuan,nurse,225
2021-01-01,W.P. Labuan,nurse,284
2022-01-01,W.P. Labuan,nurse,359
2014-01-01,W.P. Labuan,nurse_community,111
2015-01-01,W.P. Labuan,nurse_community,112
2016-01-01,W.P. Labuan,nurse_community,109
2017-01-01,W.P. Labuan,nurse_community,111
2018-01-01,W.P. Labuan,nurse_community,112
2019-01-01,W.P. Labuan,nurse_community,114
2020-01-01,W.P. Labuan,nurse_community,104
2021-01-01,W.P. Labuan,nurse_community,103
2022-01-01,W.P. Labuan,nurse_community,110
2014-01-01,W.P. Putrajaya,all,7836
2015-01-01,W.P. Putrajaya,all,7936
2016-01-01,W.P. Putrajaya,all,7975
2017-01-01,W.P. Putrajaya,all,7152
2018-01-01,W.P. Putrajaya,all,5677
2019-01-01,W.P. Putrajaya,all,7248
2020-01-01,W.P. Putrajaya,all,3143
2021-01-01,W.P. Putrajaya,all,3129
2022-01-01,W.P. Putrajaya,all,3552
2014-01-01,W.P. Putrajaya,dentist,59
2015-01-01,W.P. Putrajaya,dentist,69
2016-01-01,W.P. Putrajaya,dentist,75
2017-01-01,W.P. Putrajaya,dentist,98
2018-01-01,W.P. Putrajaya,dentist,110
2019-01-01,W.P. Putrajaya,dentist,109
2020-01-01,W.P. Putrajaya,dentist,123
2021-01-01,W.P. Putrajaya,dentist,115
2022-01-01,W.P. Putrajaya,dentist,128
2014-01-01,W.P. Putrajaya,doctor,4373
2015-01-01,W.P. Putrajaya,doctor,4375
2016-01-01,W.P. Putrajaya,doctor,4449
2017-01-01,W.P. Putrajaya,doctor,4261
2018-01-01,W.P. Putrajaya,doctor,3776
2019-01-01,W.P. Putrajaya,doctor,5104
2020-01-01,W.P. Putrajaya,doctor,1383
2021-01-01,W.P. Putrajaya,doctor,1348
2022-01-01,W.P. Putrajaya,doctor,2023
2014-01-01,W.P. Putrajaya,nurse,2867
2015-01-01,W.P. Putrajaya,nurse,2952
2016-01-01,W.P. Putrajaya,nurse,2875
2017-01-01,W.P. Putrajaya,nurse,2312
2018-01-01,W.P. Putrajaya,nurse,1551
2019-01-01,W.P. Putrajaya,nurse,1675
2020-01-01,W.P. Putrajaya,nurse,1414
2021-01-01,W.P. Putrajaya,nurse,1471
2022-01-01,W.P. Putrajaya,nurse,1177
2014-01-01,W.P. Putrajaya,nurse_community,537
2015-01-01,W.P. Putrajaya,nurse_community,540
2016-01-01,W.P. Putrajaya,nurse_community,576
2017-01-01,W.P. Putrajaya,nurse_community,481
2018-01-01,W.P. Putrajaya,nurse_community,240
2019-01-01,W.P. Putrajaya,nurse_community,360
2020-01-01,W.P. Putrajaya,nurse_community,223
2021-01-01,W.P. Putrajaya,nurse_community,195
2022-01-01,W.P. Putrajaya,nurse_community,224
