date,state,type,staff
2020-01-01,Kelantan,nurse,2403
2021-01-01,Kelantan,nurse,5323
2022-01-01,Kelantan,nurse,5688
2014-01-01,Kelantan,nurse_community,1676
2015-01-01,Kelantan,nurse_community,1683
2016-01-01,Kelantan,nurse_community,1687
2017-01-01,Kelantan,nurse_community,1671
2018-01-01,Kelantan,nurse_community,1672
2019-01-01,Kelantan,nurse_community,1682
2020-01-01,Kelantan,nurse_community,1577
2021-01-01,Kelantan,nurse_community,1576
2022-01-01,Kelantan,nurse_community,1689
2014-01-01,Melaka,all,3829
2015-01-01,Melaka,all,4056
2016-01-01,Melaka,all,4342
2017-01-01,Melaka,all,4503
2018-01-01,Melaka,all,4480
2019-01-01,Melaka,all,4947
2020-01-01,Melaka,all,5286
2021-01-01,Melaka,all,5463
2022-01-01,Melaka,all,5624
2014-01-01,Melaka,dentist,135
2015-01-01,Melaka,dentist,136
2016-01-01,Melaka,dentist,173
2017-01-01,Melaka,dentist,265
2018-01-01,Melaka,dentist,301
2019-01-01,Melaka,dentist,328
2020-01-01,Melaka,dentist,323
2021-01-01,Melaka,dentist,339
2022-01-01,Melaka,dentist,369
2014-01-01,Melaka,doctor,1092
2015-01-01,Melaka,doctor,1112
2016-01-01,Melaka,doctor,1175
2017-01-01,Melaka,doctor,1383
2018-01-01,Melaka,doctor,1354
2019-01-01,Melaka,doctor,1636
2020-01-01,Melaka,doctor,1290
2021-01-01,Melaka,doctor,2011
2022-01-01,Melaka,doctor,2121
2014-01-01,Melaka,nurse,1860
2015-01-01,Melaka,nurse,2072
2016-01-01,Melaka,nurse,2252
2017-01-01,Melaka,nurse,2148
2018-01-01,Melaka,nurse,2124
2019-01-01,Melaka,nurse,2264
2020-01-01,Melaka,nurse,2966
2021-01-01,Melaka,nurse,2460
2022-01-01,Melaka,nurse,2426
2014-01-01,Melaka,nurse_community,742
2015-01-01,Melaka,nurse_community,736
2016-01-01,Melaka,nurse_community,742
2017-01-01,Melaka,nurse_community,707
2018-01-01,Melaka,nurse_community,701
2019-01-01,Melaka,nurse_community,719
2020-01-01,Melaka,nurse_community,707
2021-01-01,Melaka,nurse_community,653
2022-01-01,Melaka,nurse_community,708
2014-01-01,Negeri Sembilan,all,5002
2015-01-01,Negeri Sembilan,all,5132
2016-01-01,Negeri Sembilan,all,5329
