date,expenditure
2013-01-01,19038037420.742104
2014-01-01,21781995328.481194
2015-01-01,22736651203.803185
2016-01-01,22315444635.24687
2017-01-01,24774628360.94647
2018-01-01,26561484959.70732
2019-01-01,28903354305.652866
2020-01-01,31010693894.4633
2021-01-01,38487094795.138016
2022-01-01,33863202977.695236
