date,basins_monitored,measure,status,n_basins,proportion
2011-01-01,140,bod5,polluted,57,40.714285714285715
2011-01-01,140,nh3n,clean,41,29.28571428571429
2011-01-01,140,nh3n,slightly__polluted,64,45.714285714285715
2011-01-01,140,nh3n,polluted,35,25.0
2011-01-01,140,ss,clean,79,56.42857142857143
2011-01-01,140,ss,slightly__polluted,26,18.571428571428573
2011-01-01,140,ss,polluted,35,25.0
2012-01-01,140,bod5,clean,12,8.571428571428571
2012-01-01,140,bod5,slightly__polluted,69,49.28571428571429
2012-01-01,140,bod5,polluted,59,42.142857142857146
2012-01-01,140,nh3n,clean,35,25.0
2012-01-01,140,nh3n,slightly__polluted,67,47.85714285714286
2012-01-01,140,nh3n,polluted,38,27.142857142857142
2012-01-01,140,ss,clean,96,68.57142857142857
2012-01-01,140,ss,slightly__polluted,28,20.0
2012-01-01,140,ss,polluted,16,11.428571428571429
2013-01-01,140,bod5,clean,0,0.0
2013-01-01,140,bod5,slightly__polluted,46,32.857142857142854
2013-01-01,140,bod5,polluted,94,67.14285714285714
2013-01-01,140,nh3n,clean,41,29.28571428571429
2013-01-01,140,nh3n,slightly__polluted,58,41.42857142857143
2013-01-01,140,nh3n,polluted,41,29.28571428571429
2013-01-01,140,ss,clean,105,75.0
2013-01-01,140,ss,slightly__polluted,24,17.142857142857142
2013-01-01,140,ss,polluted,11,7.857142857142857
2014-01-01,140,bod5,clean,0,0.0
2014-01-01,140,bod5,slightly__polluted,15,10.714285714285714
2014-01-01,140,bod5,polluted,125,89.28571428571429
2014-01-01,140,nh3n,clean,41,29.28571428571429
2014-01-01,140,nh3n,slightly__polluted,59,42.142857142857146
2014-01-01,140,nh3n,polluted,40,28.57142857142857
2014-01-01,140,ss,clean,99,70.71428571428572
2014-01-01,140,ss,slightly__polluted,22,15.714285714285714
2014-01-01,140,ss,polluted,19,13.571428571428571
2015-01-01,140,bod5,clean,0,0.0
2015-01-01,140,bod5,slightly__polluted,19,13.571428571428571
2015-01-01,140,bod5,polluted,121,86.42857142857143
2015-01-01,140,nh3n,clean,32,22.857142857142858
2015-01-01,140,nh3n,slightly__polluted,65,46.42857142857143
2015-01-01,140,nh3n,polluted,43,30.714285714285715
2015-01-01,140,ss,clean,107,76.42857142857142
2015-01-01,140,ss,slightly__polluted,13,9.285714285714286
2015-01-01,140,ss,polluted,20,14.285714285714285
2016-01-01,140,bod5,clean,0,0.0
2016-01-01,140,bod5,slightly__polluted,11,7.857142857142857
2016-01-01,140,bod5,polluted,129,92.14285714285714
2016-01-01,140,nh3n,clean,19,13.571428571428571
2016-01-01,140,nh3n,slightly__polluted,83,59.285714285714285
2016-01-01,140,nh3n,polluted,38,27.142857142857142
2016-01-01,140,ss,clean,87,62.142857142857146
2016-01-01,140,ss,slightly__polluted,23,16.428571428571427
2016-01-01,140,ss,polluted,30,21.428571428571427
2017-01-01,140,bod5,clean,0,0.0
2017-01-01,140,bod5,slightly__polluted,50,35.714285714285715
2017-01-01,140,bod5,polluted,90,64.28571428571429
2017-01-01,140,nh3n,clean,11,7.857142857142857
